Region,Adult obesity,Food environment index
South,0.285,8.2
South,0.298,7.476
South,0.294,7.2
South,0.285,6.612
South,0.284,6.3
South,0.378,6.066
South,0.381,5.5
South,0.319,5.284
South,0.317,5.1
South,0.325,6.058
South,0.317,6.0
South,0.31,7.877
South,0.317,7.6
South,0.332,6.972
South,0.343,6.8
South,0.292,7.45
South,0.318,7.1
South,0.352,6.443
South,0.349,6.1
South,0.308,8.186
South,0.318,7.8
South,0.331,5.221
South,0.32,4.9
South,0.354,7.018
South,0.334,6.6
South,0.305,7.285
South,0.293,6.9
South,0.313,6.219
South,0.293,5.8
South,0.288,8.24
South,0.293,7.9
South,0.342,4.98
South,0.338,4.6
South,0.317,8.338
South,0.309,8.0
South,0.319,3.325
South,0.327,2.8
South,0.325,6.627
South,0.348,6.3
South,0.315,7.285
South,0.311,7.0
South,0.323,6.862
South,0.328,6.8
South,0.316,7.818
South,0.316,7.2
South,0.313,5.893
South,0.317,5.5
South,0.326,7.85
South,0.343,7.5
South,0.327,6.813
South,0.362,6.4
South,0.315,7.269
South,0.31,7.0
South,0.277,7.265
South,0.282,7.0
South,0.358,5.684
South,0.362,5.3
South,0.317,6.583
South,0.335,6.3
South,0.267,8.82
South,0.291,8.5
South,0.289,8.38
South,0.294,8.1
South,0.256,8.05
South,0.268,7.8
South,0.337,5.788
South,0.348,5.5
South,0.259,8.529
South,0.271,8.3
South,0.306,7.745
South,0.308,7.4
South,0.313,8.638
South,0.307,8.4
South,0.264,7.297
South,0.283,7.1
South,0.307,7.385
South,0.319,6.6
South,0.323,7.759
South,0.317,7.4
South,0.312,4.05
South,0.312,3.9
South,0.292,7.946
South,0.305,7.4
South,0.365,6.062
South,0.365,5.5
South,0.33,5.192
South,0.332,4.8
South,0.331,6.102
South,0.327,5.9
South,0.29,7.387
South,0.296,6.8
South,0.338,5.809
South,0.341,5.5
South,0.322,6.997
South,0.296,6.8
South,0.34,6.256
South,0.355,6.0
South,0.317,7.404
South,0.302,7.2
South,0.346,5.869
South,0.328,5.3
South,0.372,5.151
South,0.35,4.7
South,0.348,6.64
South,0.338,6.3
South,0.352,1.599
South,0.35,1.5
South,0.315,7.209
South,0.352,6.9
South,0.33,6.012
South,0.326,5.6
South,0.306,5.48
South,0.3,5.3
South,0.386,5.981
South,0.354,5.9
South,0.326,5.696
South,0.31,5.1
South,0.32,6.511
South,0.323,6.4
South,0.336,6.224
South,0.332,5.8
South,0.274,8.977
South,0.27,8.4
South,0.348,5.873
South,0.342,5.5
South,0.309,6.523
South,0.299,6.1
South,0.326,6.312
South,0.343,6.1
South,0.32,6.883
South,0.314,6.4
South,0.266,8.737
South,0.252,8.3
South,0.344,6.496
South,0.324,6.1
South,0.32,7.416
South,0.334,7.0
South,0.283,7.566
South,0.3,7.3
South,0.341,5.682
South,0.343,5.3
South,0.372,5.667
South,0.352,5.3
South,0.347,4.759
South,0.353,4.7
South,0.334,6.208
South,0.324,5.9
South,0.311,7.521
South,0.315,7.2
South,0.316,6.879
South,0.327,6.5
South,0.286,8.359
South,0.275,8.1
South,0.284,6.75
South,0.288,6.6
South,0.31,6.807
South,0.329,6.5
South,0.327,5.061
South,0.337,4.6
South,0.321,6.446
South,0.34,6.2
South,0.316,6.883
South,0.342,6.6
West,0.241,6.984
West,0.245,6.8
West,0.218,8.243
West,0.221,7.9
West,0.217,7.355
West,0.214,7.2
West,0.233,7.557
West,0.227,7.4
Midwest,0.318,8.725
Midwest,0.323,8.6
Midwest,0.338,8.874
Midwest,0.325,8.5
Midwest,0.28,8.031
Midwest,0.295,7.9
Midwest,0.3,7.703
Midwest,0.295,7.5
Midwest,0.341,8.727
Midwest,0.326,8.5
Midwest,0.297,8.785
Midwest,0.3,8.5
Midwest,0.285,7.291
Midwest,0.286,7.0
Midwest,0.32,8.545
Midwest,0.303,8.3
Midwest,0.281,9.053
Midwest,0.304,8.8
Midwest,0.3,8.535
Midwest,0.312,8.3
Midwest,0.274,8.434
Midwest,0.299,8.3
Midwest,0.272,7.633
Midwest,0.279,7.4
Midwest,0.304,7.359
Midwest,0.305,7.0
Midwest,0.317,9.027
Midwest,0.3,8.7
Midwest,0.354,7.788
Midwest,0.319,7.6
Midwest,0.354,8.833
Midwest,0.32,8.6
Midwest,0.294,8.081
Midwest,0.297,7.8
Midwest,0.277,8.933
Midwest,0.334,8.6
Midwest,0.306,8.365
Midwest,0.303,8.1
Midwest,0.313,8.451
Midwest,0.287,8.2
Midwest,0.296,8.563
Midwest,0.285,8.4
Midwest,0.308,7.898
Midwest,0.31,7.7
Midwest,0.3,7.957
Midwest,0.302,7.6
Midwest,0.288,8.283
Midwest,0.301,8.1
Midwest,0.294,9.127
Midwest,0.306,9.0
Midwest,0.32,8.176
Midwest,0.308,7.8
Midwest,0.309,7.862
Midwest,0.301,7.6
Midwest,0.345,8.775
Midwest,0.373,8.6
Midwest,0.323,7.625
